A	B	C	D	E	F	G
						
	Name of Metre	Scan	akṣara	mātrā	tāla/laya	mātrāgaṇa lakṣaṇa
106	moṭanakam 147	_22112112112	11	16	2	8(da)
107	bhramaravilasitam 138	_2222,1111112	11	16	2	8(da)
108	strī	_21122,111122	11	16	2	8(da)
109	lalanā 186	_21122,1111112	12	16	2	8(da)
110	toṭakam 162	_112112112112	12	16	2	8(da)
111	kusumavicitrā 168	_111122111122	12	16	2	8(da)
112	tāmarasam 183	_111121121122	12	16	2;7	8(da)
113	kamalākṣī 218	_1111111121122	13	16	2	8(da)
114	madalalitā 211	_1111211111122	13	16	2;25	8(da)
115	praharaṇakalikā 14-3	_1111112,1111112	14	16	2	8(da)
116	śasikalā 243	_111111111111112	15	16	2;25	8(da)
117	maṇigaṇakiraṇaḥ 245	_11111111,1111112	15	16	2;25	8(da)
118	vimalā 151	_11222211112	11	16	2	8(da)
119	patitā 140	_11112221122	11	16	2	8(da)
120	uddhatam 124	_2221121122	10	16	2;7	8(da)
121	srag 244	_111111,111111112	15	16	2;25	8(da)
122	dodhakam 130	_21121121122	11	16	2;7	8(da)
123	upacaitram 234	_11111111111122	14	16	2;25	8(da)
124	lalanā 186 (śovn as kāmadattā)	_21122,1111112	12	16	2	8(da)
125	mauktikamālā	_21122111122	11	16	2	8(da)
126	layaḥ 208	_1111121211212	13	17	23;124	3(data)2
127	caladhṛtiḥ 268	_1111111111111112	16	17	21;23;124	3(data)2
128	upasthitā 133	_22112112122	11	17	5;6	3(pa)2
129	upasthitam 134	_12111222122	11	17	5;6	3(pa)2
130	kumudinī	_21212211122	11	17	5;51	3(pa)2
131	tatam 165	_111111222212	12	17	5;24	3(pa)2
132	puṭaḥ 164	_111111222122	12	17	5;6	3(pa)2
133	gaurī 213	_1111112211122	13	17	5;51	3(pa)2
134	vaitikā	_21212121212	11	17	21	5(da1)2
135	kolaḥ 193	_121112112122	12	17	3;5	5(da1)2
136	upendravajrā 155	_12122112122	11	17	3	5(ta)2
137	śyenī 144	_21212121212	11	17	3	5(ta)2
138	mauktikadāma 172	_121121121122	12	17	-	
139	rocakam 127	_21121121222	11	17	-	
140	kalikā 121	_2122221122	10	17	-	
141	kekiravam 191	_112122112122	12	18	223;112122	2(11da1dada)
142	kuṭajam 212	_1121211121122	13	18	4;25;13122	2(1ta1dada)
143	manjubhāṣiṇī 206	_1121211121212	13	18	4;5;1332	2(1tatada)
144	lalitā 175	_221211121212	12	18	4;5;432	2(catada)
145	candrikā 205	_1111112121222	13	18	4;24;2124	2(da1daca)
146	indravajrā 154	_22122112122	11	18	223;22122	2(dada1dada)
147	candrikā	_1111112212122	13	18	26	2(daSha)2
148	ekarūpam 146	_22211212122	11	18	43;26	2(daSha)2
149	aupacchandasikam_u	_22211212122	11	18	43;26	2(daSha)2
150	induvadanā 14-6	_21112111211112	14	18	4;32;25;31122	2(ta11dada)
151	kṣamā 200	_1111112212212	13	18	122;26	3(1dada)12
152	meghāvalī 188	_111212212212	12	18	122;26	3(1dada)12
153	kumudinī 185	_212122111122	12	18	24;26	3(daca)
154	vibhāvarī 184	_121212121212	12	18	12	6(1da)
155	rucirā 198	_1212111121212	13	18	12;4	6(1da)
156	vamśastha 159	_121221121212	12	18	3;4	6(ta)
157	dhṛtiḥ 235	_11112121112112	14	18	3;223	6(ta)
158	aparājitā 14-2	_11111121211212	14	18	3;4	6(ta)
159	angaruciḥ 196	_2112112112112	13	18	2;43	9(da)
160	sukesaram 233	_11121211121212	14	19	125	2(1dapa)12
161	sudantam 217	_1121221121212	13	19	25	2(dapa)212
162	lakṣmīḥ 214	_2212111121212	13	19	25;8	2(dapa)212
163	indravaṃśā 158	_221221121212	12	19	25	2(dapa)212
164	vidyunmālikā 209	_1111122212212	13	19	232	2(datada)212
165	abhrakam 215	_2212111211212	13	19	4;232	2(datada)212
166	navamālinī	_1111212122122	13	19	34	2(taca)122
167	skhalitam 237	_21112111211122	14	19	221;322	3(dada1)22
168	atirekhā 15-6(elā252)	_112121111111122	15	19	221;142	3(dada1)22
169	lalitapadam 272	_1111111111211122	16	19	221;1222	3(dada1)22
170	vasudhārā 296	_11111111111111122	17	19	221;1222	3(dada1)22
171	candrarekhā 207	_1111122122122	13	19	221;322	3(dada1)22
172	lalanā 283	_2121111111111112	16	19	23;2122;35	3(data)112
173	śarabhā 240	_11121111122122	14	19	23;1222	3(data)22
174	śarabhalalitam 239	_11121111122122	14	19	23;1222	3(data)22
175	kṣmā 203	_1111112,222122	13	19	5	3(pa)22
176	gauḥ 257	_111111211211212	15	19	13	4(1ta)
177	yavamatī_pū	_212121212122	12	19	_	
178	vātormī 136	_2222,1122122	11	19	_	
179	jaladharamālā 178	_2222,11112222	12	20	2;27	10(da)
180	maṇimālā 190	_221122,221122	12	20	2;5	10(da)
181	puṣpavicitrā 189(ṃaṇimālā)	_221122221122	12	20	2;5	10(da)
182	prabhadrakam 253	_111121211121212	15	20	3;313;11233	2(11datata)
183	kalabhāṣiṇī 255	_111121121211212	15	20	12121;121312	2(1da1ta1da)
184	ṛṣabhagajavilasitam 271	_2112121,111111112	16	20	3;21121;211213	2(da11da1ta)
185	praharṣiṇī 197	_222,1111212122	13	20	4;6;9;2422	2(dacadada)
186	śālinī 135	_2222,2122122	11	20	26;622	2(Shadada)
187	dardurakaḥ 236	_21121121211212	14	20	3121;31312	2(ta1ta12)
188	yavamatī_u	_1212121212122	13	20	3;334	2(tataca)
189	bhujangaprayātam 170	_122122122122	12	20	122;8	4(1dada)
190	rājaramaṇīyaḥ 229	_1211122,1211122	14	20	122;8	4(1dada)
191	vasantaḥ 224	_1111112,2122122	14	20	122;26	4(1dada)
192	urvaśī 194	_1112212212212	13	20	212	4(da1da)
193	sragviṇī 171	_212212212212	12	20	212	4(da1da)
194	valanā 232	_21211121121122	14	20	5;24;7;26	4(pa)
195	upamālinī 248	_11111122,1211212	15	20	32	4(tada)
196	karimakarabhujā 223	_1111112,2212212	14	20	32;6	4(tada)
197	bhoginī 258	_111111212122122	15	21	125	2(1dapa)122
198	maṅgalamaṅganā 270	_1112,111211211212	16	21	6;142;215	3(1cada)
199	vasantatilakā 231	_22121112112122	14	21	232;53	3(datada)
200	simhaḥ 228	_1112222,1211212	14	21	232;36	3(datada)
201	ṛṣabhaḥ 242	_112121112112122	15	21	232;143	3(datada)
202	kāmāvatāraḥ 167	_221221221222	12	21	52	3(pada)
203	sundaram 256	_212111211211212	15	21	6;52;215	3(pada)
204	mattamayūrā 199	_2222,211221122	13	22	2;65	[11](da)
205	somaḍakam 267	_1121121121121122	16	22	2;45	[11](da)
206	kuṭilam 241	_2222,111111,2222	14	22	2;225;272	[11](da)
207	asambādhā 14-1	_22222111111222	14	22	2;227	[11](da)
208	surabhiḥ 316	_11211,11211,11211,112	18	22	2;1131113	2(11ta111ta)
209	vellitā 284	_1121121111112222	16	22	2;225;11342	2(11tacada)
210	bāṇini 276- 277	_1111212111212212	16	22	28;121232	2(1da1datada)
211	kuṭakam 297	_1111212,1112112112	17	22	42;117;28;121322	2(1da1tadada)
212	kokilakam 298	_1111212,111211,2112	17	22	42;117;28;121322	2(1da1tadada)
213	bhramarapadam 309	_211212111,111111112	18	22	42;225;28;2112122	2(da11da1dada)
214	ketanam 260	_211122112112122	15	22	5;225;211322	2(da11tadada)
215	śiśuḥ 259	_221121112112122	15	22	5;225;22232	2(dadatadada)
216	mahiṣī 274	_211212111,2121112	16	22	6;27;28;312122	2(ta1da122)
217	śaramālā 264	_2112112112111122	16	22	2;31214	2(ta1da1ca)
218	vaṃśapatrapatitam 288	_2112121112,1111112	17	22	42;27;28;312122	2(ta1da1dada)
219	saṃgatam 265	_2112112112112112	16	22	2;31313	2(ta1ta1ta)
220	śailaśikhī 281(name mdiफ़ied)	_2112121112112112	16	22	42;27;28;31322	2(ta1tadada)
221	varayuvatiḥ 282	_2112121221111112	16	22	42;9;28	3(cada)112
222	maṇikalpalatā 263	_1111212122112112	16	22	42;18;28	3(cada)112
223	vaiśvadevī 177	_222222122122	12	22	6;28	3(Sha)22
224	koddumbhaḥ 216	_22222,11122122	13	22	6;28;2225	3(Sha)22
225	candroddyotaḥ 247	_11111122,2212212	15	22	5	4(pa)2
226	mālinī 246	_1111112,22122122	15	22	5;6	4(pa)2
227	śreyomālā 201	_2222,221211212	13	22	4;28	5(ca)2
228	mṛdaṅgaḥ 261	_221211121121212	15	22	4;28	5(ca)2
229	cancarikāvalī	_1222222122122	13	23	7;54	2(paca)122
229	cancarikāvalī	_1222222122122	13	23	7;54	2(paca)122
230	tūṇakam 254	_212121212121212	15	23	21	7(da1)2
231	pañcacāmaram 278	_1212121212111212	16	23	3;37	7(ta)2
232	vāṇinī 299	_11112121112112122	17	23	3;25	7(ta)2
233	jayā 226	_2222122,1211212	14	23	8;27	
234	bhaṅgiḥ 319	_211211211211111122	18	24	2;[11]	[12](2)
235	kalyānam 173	_222222222222	12	24	2	12(da)
236	alolā 14-7	_2221122,2221122	14	24	2	12(da)
237	pṛthvī 287	_12111212,111212212	17	24	12212;[11];13143	3(1dada1da)
238	atiśāyinī 289	_1121121212,1112122	17	24	4;[11]	6(ca)
239	pankajavaktrā 315	_1111,111121122,21122	18	24	2;[11]	
240	madanalalitā 275	_2222,111112,221112	16	24	28;29;8112	
241	citram 279	_2121212121212122	16	25	2124	2(da1daca)2122
242	jyotsnā 227	_2222122,2212212	14	25	225;11	2(dadapa)2212
241	citram 279	_2121212121212122	16	25	2124	2(da1daca)2122
243	hariṇī 293	_111112,2222,1211212	17	25	2232;[11]	2(dadatada)11212
244	śikhariṇī 286	_122222,11111221112	17	25	7;3222;128	2(tadadada)21112
245	jayānandam 273	_122222,1111122122	16	25	7;3222	2(tadadada)2122
246	bhārākrāntā 291	_2222,111112,1211212	17	25	225;28;11	
247	suratalalitā 280	_2221111122212122	16	25	27;[10]	
248	rājalakṣmīḥ 225	_2222122,2122122	14	25	27	
249	maṇibālā 301(name midiफ़ied)	_21121121122,2211112	18	26	2;7;11	13(da)
250	ratilīlā 326	_121112,121112,1211122	19	26	4;[11];12122122	2(1da1dada1dada)
251	simhavikrīḍitam	_111111212212212212	18	26	8;54;1221232	2(1dada1datada)
252	taralam 331	_1112112121121211212	19	26	2122;334;2[10];123133	2(1data1tata)
253	taruṇīvadanenduḥ 333	_1121121121121121122	19	26	2;441;131314	2(1ta1ta1ca)
254	calam 305	_2222,1111112,1211212	18	26	4;424;422212	2(cadadada1da)
255	dīpikaśikhā 343	_211,111122,11111121212	20	26	4;24;34;3124;21112123	2(da111da1data)
256	budbudam 320	_112121112121221212	18	26	4;9;10;232123	2(datada1data)
257	haranartakam	_21211212,11212,11212	18	26	222;334;2[10];33133	2(tata1tata)
258	lalitam 308	_1111112,2222,1211212	18	26	4;424	6(ca)2
259	śārdūlalalitam 310	_222112121112,221112	18	27	8;46;29	2(caSha)21112
260	vāyuvegā 322	_222112121112,1111212	19	27	421;8;46;29	3(cada1)1212
261	mandākrāntā 290	_2222,111112,2122122	17	27	225;28;[11]	3(dadapa)
262	candralekhā 250	_2222122,22122122	15	27	225;[11]	3(dadapa)
263	padmam 294	_111112,2222,2122122	17	27	225;[11]	3(dadapa)
264	hariṇīpadam 318	_111112,2222,21211212	18	27	225;29	3(dadapa)
265	candanaprakṛtiḥ 349	_212121221111111111112	21	27	35;2313;2126	3(data1ta)
266	krīḍā 317	_122222,111112,221112	18	27	522;1226;129	3(padada)
267	kuraṅgikā 311	_22222,1111121,211212	18	27	6;226;29	4(Sha)12
268	hāriṇī 292	_2222,111112,2212212	17	27	28;29;[12]	
269	komalalatā 285	_2222,21112,2212212	16	27	28;29;[12]	
270	rohiṇī 295	_111112,2222,2212212	17	27	29	
271	lalitalatā 366	_1111112,1111112,1111111122	24	28	2;1145;[13]	14(da)
272	siddhiḥ 350	_111121211121121121212	21	28	244;1217;11223212	2(11dadatada1da)
273	candramālā 307	_1111112,2222,2122122	18	28	6;26;221522	2(dada1padada)
274	kecalam 306(name modiफ़ied)	_2222,1111112,2212212	18	28	622;[13];2223212	2(dadadatada1da)
275	kecalam 306(name modiफ़ied)	_2222,1111112,2212212	18	28	622;[13];2223212	2(dadadatada1da)
276	kāmalatā 342	_21121211121121121212	20	28	244;317;2223212	2(dadadatada1da)
277	cāndralekhā 304(name modiफ़ied)	_2222,1111112,2122122	18	28	6;26;[13];225122	2(dadapa1dada)
278	citrā 249	_22222222,2122122	15	28	6;26;22622	2(dadaShadada)
279	ūrjitam 330	_2121121122,211211212	19	28	65;2[11]	2(Shapa)1212
280	mudrā 337	_11121121122,211211212	20	28	65;2[11]	2(Shapa)1212
281	pramadānanam	_11212112121121211212	20	28	11212;137	4(11da1da)
282	vanamañjarī 351	_111121121121121211212	21	28	133;1217	4(1tata)
283	nandakam 341	_21121121121121211212	20	28	43;317	4(cata)
284	makarandikā 324	_122222,111112,1211212	19	28	52;128;[13]	4(pada)
285	śaśāṅkaracitam 344	_22121112121112121112	20	28	4;5;2[11]	7(ca)
286	citralekhā 303	_2222,2111112,2122122	18	29	226;29	2(dadaSha)22122
287	kusumitalatāvellitā 302	_22222,111112,2122122	18	29	226;29;12	2(dadaSha)22122
288	mugdhakam 329	_122222,1111112,122122	19	29	326;1227	2(tadaSha)2122
289	tarangaḥ 352	_212111212111212111212	21	29	2123;2324;3[10]	3(da1da3)212
290	mattavilāsinī	_211211211211211211212	21	29	24;215;2224;434	4(daca)212
291	mādhavīlatā 332	_2222122,111121121212	19	29	8;[13]	
292	anaṅgalekhā 312	_111112,22222,2122122	18	29	29	
293	kāmakrīḍā 262	_222222222222222	15	30	2	15(da)
294	varatanuḥ 356	_2222211221111111111112	22	30	2;[11]	15(da)
295	madirā 355	_2112112112112112112112	22	30	2;443;3131313	15(da)
296	capalagatiḥ 363	_2112221122,1111111111112	23	30	2;3323	15(da)
297	saṃbhrāntā 370	_111122211221111111111112	24	30	2;12323	15(da)
298	drutalaghupadagati 369	_211211211221111111111112	24	30	2;7;3323	15(da)
299	capalam 375	_1111211211221111111111112	25	30	2;7;12323	15(da)
300	haṃsalayaḥ 373	_11111111,1111112,2112112112	25	30	2;18;11333;1[12]	15(da)
301	vegavatī 379	_11112111111221111111111112	26	30	2;25;126;12323	15(da)
302	mattakrīḍā 348	_22222222,11111,11111112	21	30	2	15(da)
303	haṃsagatiḥ 361	_11112112112112112112112	23	30	2;1343;12131313	2(1da1ta1ta1ta)
304	chāyā 325	_122222,111112,2212212	19	30	9;1226;[14];1222512	2(1dadadapa1da)
305	meghavisphūrjitā 323	_122222,111112,2122122	19	30	7;[13];122622	2(1dadaShadada)
306	mattebhavikrīḍitam 336	_1122112121112,2212212	20	30	82;[11];2[12];161232	2(1Sha1datada)
307	lalitavikramaḥ 347	_2112121112,12111212212	21	30	9;253;335;[14];2113323	3(dapata)
308	madraka 353	_2112121112,121112121112	22	30	9;253;3125;[14];21133113	3(dapata)
309	prabhādraka(same as 353)	_2112121112,121112121112	22	30	9;253;3125;[14];21133113	3(dapata)?
310	vañcitam 328	_22222,1111112,2212212	19	30	262;[11];2[12];82212	3(daShada)
311	aśvalalitam 358	_11112121112,121112121112	23	30	18;253;12125;14;21133113	3(daShada)
312	puṣpadāma 327	_22222,1111112,2122122	19	30	622;2[11];2[12];622122	3(Shadada)
313	kathāgatiḥ 346	_2212122,1111112,1211212	21	30	4;5;7	6(pa)
314	sadratnamālā 340	_22211,11121112,2212212	20	30	9;82;[11];2[12];71232	
315	kāñcī	_22221221112,2212212	18	30	9;[11];2[12];852	
316	suvadanā 334	_2222122,1111112,221112	20	30	9;229;2[12];852	
317	śārdūlavikrīḍitam 321	_222112121112,2212212	19	30	82;[11];2[12];71232	
318	śobhā 338	_122222,1111112,2122122	20	31	56;3225;12[10]	
319	mayūragatiḥ	_21121121121121121121122	23	32	2;443;[15]	16(da)
320	kāmukī 266	_2222222222222222	16	32	2	16(da)
321	śaṅkhaḥ 360	_22112112112112112112112	23	32	2;49	16(da)
322	tanvīī 365	_21122,1111112,211211111122	24	32	2;9;2153;67	16(da)
323	krauncapadā 372	_21122,21122,11111111,1111112	25	32	2;33221	16(da)
324	āpīḍaḥ 378	_2111111111122,2211111111112	26	32	2;223;2124;32231	16(da)
325	haṃsapadā 374	_2211222112,1111111111,11112	25	32	2;427	16(da)
326	apavāha 377	_222111111,111111,111111,11222	26	32	2;223;222221;2227;2[13]	16(da)
327	mattākrīḍā 359	_22222222,11111,1111111112	23	32	2	16(da)
328	citramālā 339	_2222122,111112,2122122	20	32	9;65;22[10];2[13];2223232	2(dadadatadatada)
329	vṛttam 335	_21212121212121222122	20	32	324;14;2[13]	3(tadaca)122
330	citrakam 362	_21211121211121211121212	23	32	21212;232121;337;[15]	4(da1da1da)
331	dīpārciṣ 357	_222112121112,1211121212	22	32	242;223121;67;[15]	4(dacada)
332	subhadram 368	_211211211211211211211212	24	33	6;[10];443;2[12];3[12]	3(cacata)
333	sragdharā 345	_2222122,1111112,2122122	21	33	2[11];[14]	
334	mahāsragdharā 354	_11222122,1111112,2122122	22	33	2[11];1[13]	
335	vṛndārakam 364	_12111212111212212212212	23	34	8;57;12325;414323	2(ca1catadata)
336	sudhākalaśaḥ 380	_11112121112112,112121112112	26	34	162;28;2228;13[11];2[14]	3(1Shada)12112
337	meghamālā 367	_111111212212212212212212	24	36	3235;59;122123232	2(1dada1datadatada)
338	vibhramagatiḥ 371	_222112121112221221211212	24	37	10;2228;78;2[14]	
339	bhujangavijṛmbhitam 376	_22222222,11111111112,1211212	26	38	4;4424;2[16];222422212	9(ca)2
