Name of Metre	Sl.no.
sāraṇī 153	81
śārdūlalalitam 310	259
śārdūlavikrīḍitam 321	317
śaśāṅkaracitam 344	285
śasikalā 243	116
śaśilekhā 103	38
saumyā 99	37
sāvitrī	32
siddhiḥ 350	272
śikhariṇī 286	244
simhaḥ 228	200
siṃhākrāntā 105	63
siṃhalekhā 81	49
simhavikrīḍitam	251
śiśuḥ 259	215
skhalitam 237	167
śobhā 338	318
somaḍakam 267	205
srag 244	121
sragdharā 345	333
sragviṇī 171	193
śreyomālā 201	227
strī	108
subhadrā 67	19
subhadram 368	332
subhadrikā 11-14	57
sudantam 217	161
śuddhavirāḍ 109	91
sudhākalaśaḥ 380	336
sukesaram 233	160
sumālatī 76	17
sumukhī 145	65
sundaram 256	203
surabhiḥ 316	208
suratalalitā 280	247
suvadanā 334	316
svāgatā 142	90
śyenī 144	137
tāmarasam 183	112
tanvīī 365	322
taralam 331	252
tāram	53
tāram 98	62
tarangaḥ 352	289
taruṇīvadanenduḥ 333	253
tatam 165	131
toṭakam 162	110
tūṇakam 254	230
tvaritagatiḥ 112	39
tvaritamatiḥ 219	68
udayam	28
udayam 92	26
uddhatā 56	20
uddhatam 124	120
ujjvalā 166	78
upacaitram 234	123
upacitram_pū	75
upacyutam 95	16
upamālinī 248	195
upāsthitā 120	76
upasthitā 133	128
upasthitam 134	129
upendravajrā 155	136
ūrjitam 330	279
urvaśī 194	192
uṣitā 116	52
uṣṇik 53	27
utsukam 93	48
utthāpanī 148	100
vaiśvadevī 177	223
vaitālīyam_pū	54
vaitālīyam_u	92
vaitikā	134
vaktram 88	102
valanā 232	194
vaṃśapatrapatitam 288	218
vamśastha 159	156
vanamañjarī 351	282
vañcitam 328	310
vāṇinī 299	232
varatanuḥ 356	294
varayuvatiḥ 282	221
vasantaḥ 224	191
vasantatilakā 231	199
vasudhārā 296	170
vātormī 136	178
vāyuvegā 322	260
vegavatī 379	301
vellitā 284	209
vibhā 72	55
vibhāvarī 184	154
vibhramagatiḥ 371	338
vidhuvaktrā 60	8
vidyunmālā	101
vidyunmālikā 209	164
vimalā 151	118
vimalā 66	4
vipulabhujā 125	72
vṛndārakam 364	335
vṛttā	66
vṛttam 335	329
yavamatī_pū	177
yavamatī_u	188
